SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14
499.289230239112,4107.81168749929,11075.9393039942,3041.58754912682,3092.95596884762,24997.5541392565,6077.90855744481,2547.79513804615,-8829.46371501312,-2405.26567548513,-3098.01111530117,3495.27167290915,-2665.69828680158,6891.3063275516
991.326513732784,6237.55780684855,15713.8537515402,2671.81173806777,2644.96838262305,34744.7121459655,5294.25969180209,15076.8387948424,9867.93416568637,158.099832005799,4595.1144527779,13145.1019230783,-20674.7516973317,5783.10495072417
648.368708901107,6837.76058696397,11212.5485036224,3194.29651020467,2742.72347264737,28891.9731280729,8066.35476590507,27678.0280034691,13408.3531511277,-5960.89743082784,17344.7426356003,17634.4470842034,-33390.6082500294,8987.64784090593
-3591.89016643912,3136.98524864111,5820.88644027338,1080.78042201512,3282.48158156127,19482.8646833077,7411.24356812984,33047.1806159094,9694.90175189823,-16361.8404939845,16133.0650125779,16954.1181746349,-44468.2643333375,8207.01777055673
-6208.45267174393,873.42170085758,4092.72343213111,2067.88405735209,2263.14403611701,10894.8618658737,8356.49251084216,30071.4070352018,7737.21207398176,-16351.0160021931,18499.0011011139,21356.0407711864,-43030.0802246332,13769.2449227162
-2864.56208951399,-666.861049111933,130.297324150801,3042.35576263815,154.77089445293,-7039.43468677998,5392.08140161634,19147.8262120187,-400.478149712086,-5920.65528596938,12713.7538162619,15987.1230958104,-4253.39404690266,11767.5967423618
479.328504040837,-2207.14382271096,-3832.1287920475,4016.82746810094,-1953.60224025813,-24973.7312828302,2427.67029654607,8224.24542201764,-8538.16838152707,4509.70536370715,6928.50635775737,10618.2054395676,34523.2921450892,9765.94850661233
1504.69354911335,-5011.2750415653,-8720.78894922137,5717.24808860896,-2487.01536424831,-33375.4542925358,3904.0833285749,578.229669027031,-11387.5637768433,28244.7234005462,1770.72629127465,952.910610383377,50679.5847483873,11295.6897444427
2260.98059429787,-4156.41750897467,-9372.99689537287,5049.98864692543,-1615.42091516312,-36219.667822361,2070.09853944927,-8113.27159353718,-19057.7397123426,36587.4165566191,127.402025224292,-4016.638824258,69429.5325725079,10664.6441105008
1172.37928432971,-2961.13674437627,-7458.14348311722,1410.35839132092,-756.646487390623,-33046.9931169227,1038.00727297552,-15860.5699912831,-27148.7124848366,27909.5504262224,-8493.04825121164,-11095.0095962137,55810.1433942318,7420.63291418552
-750.841623404762,1002.45325543359,81.1736196428537,-2097.81133720954,-553.219939395785,-16094.9217773974,3207.27145764232,-11112.9754364193,-10149.0347380508,19172.2818855359,-7466.83829611295,-3151.23177523352,25456.2486397289,9292.61148481595
2949.92664638907,7863.29454889894,7828.87452235818,3569.13634937722,2908.25659830868,-4955.62315653078,9035.82482286543,4021.6571116522,-4844.00611964148,15736.547811674,-1782.15180490166,8077.33390054852,4985.68376466259,15133.2156389952
3350.23328697868,6577.95947550237,8443.91333174706,5350.86123889685,5832.13369524479,2266.10330192372,14100.1101526022,18001.4085254073,29.5749131962657,19394.0828954279,4660.66138285026,14209.2351565361,-5455.31319975853,14932.897248745
557.05360446428,5703.57356661558,9307.43113219738,3853.00426408649,7117.69475883991,20963.5427918434,10703.1914964318,37093.8136651516,15238.1548103616,11509.0429708399,13340.8428286761,21671.3009534776,-26614.5336100161,17027.443575263
-2346.9391172193,4815.01318452135,7917.58015546203,-956.071999908425,5186.74425960705,23240.3724963069,3557.96353679057,32642.0295987725,18178.4509461522,-3269.39619344939,6389.94655651972,21390.3520853817,-45053.0306733549,11200.6033164933
1294.14043486863,7426.20396833122,9795.50299298763,2566.32743267529,4369.40796377696,22014.8937587738,8583.93704091758,35465.9953952655,21879.2177739143,-8639.86627405882,10256.6986781843,28949.6057747603,-40927.2800551057,15704.4168775789
-1915.16034074407,5223.19861075282,5987.23512728512,-1637.84078860143,3309.44599187002,13000.3118459284,2166.40606274642,30350.7110560983,17916.8982253969,-14569.9494834542,7034.45358703006,18667.1376730204,-38323.0218715966,11135.3431565091
-2141.32537644135,1470.5416168198,753.044504767284,-4199.97263455554,-872.78516593398,2621.83604670642,168.006351990625,19110.0148744192,14022.1826703399,-14131.8862286508,-2691.96628963202,7860.31185286026,-6030.90092003346,7620.40203429014
4879.16266536713,3377.1906169951,-517.869746593759,3843.66288872995,-255.19793102704,-6932.27154428884,5647.1250112541,16357.1863343585,15383.3300390246,-5639.5619460009,-917.046957882121,10388.658308371,46716.6730579846,10879.0823490173
23.2190264419187,-1262.75578255183,-4782.77569510415,1154.66163561842,-825.808694135165,-14229.2911046147,-3560.81932921452,83.0794195983326,-497.379006635398,12636.327282548,-5912.65566284582,661.229159813374,56151.2905128002,5267.41570457816
-2729.29145936482,-2739.88717681542,-6111.69194740057,-3290.37443778571,-2747.21122431383,-23149.1763063371,-3628.55482275412,-7680.80835133791,-3922.8340147147,13442.0217646323,-7008.95133194327,-2412.63336056168,68911.1684482098,4022.62070506671
-5746.87105496228,-4698.5369152762,-6101.98675060272,-4798.81799870729,-2908.5520287212,-23699.7606480774,-2999.2092198208,-16194.5804053843,-12978.3537759185,11669.9955740385,-12611.9701006636,-10256.3797553889,57143.5807846189,-2615.35833361652
-1243.13785474328,549.52664578706,429.591751977801,-1018.01415502001,-1412.76321979798,-9920.13621026813,5069.88666965813,-6664.65277351067,-4825.40917604417,9569.72162597254,-11795.8471247442,-2107.44090476539,22077.8983549476,2690.57046341337
341.82473803591,2139.64189478243,4220.38852250576,914.766868903302,-649.062022246071,1522.21402717568,5005.92419796763,5568.97621798841,8825.52342561726,3706.04450653493,-4174.5332082212,10041.9441348761,375.866116203368,8827.27292040146
-260.143535777926,2578.09410760552,5734.16207176447,-1551.18740004953,1468.35394409206,6674.36090568826,6157.3386214393,12477.1882396443,11956.850648962,-807.948022056371,5200.9963728711,17115.4844702482,-19789.1734772564,8950.58888155222
3764.61633898318,2644.59767661616,6385.28348255158,4801.95388175547,4053.91661577299,22552.0076830015,12544.7654509712,29308.5456735804,23704.9600446238,444.45496378094,19235.3331569056,27294.2016038001,-28474.9220631272,11049.9701300822
4765.6156167239,5249.65800338984,6527.63348126412,6663.29175692797,7966.98024886847,32280.5402338505,11395.2142285109,36904.3752884865,28430.660502553,235.771288760006,30032.8360757083,28346.593069315,-35488.2005985454,12775.2769366019
-1194.79953936138,860.776254210621,3539.41938057542,-853.198754369281,3731.98583722475,23722.1053754306,5604.56043043267,31970.0222111717,28987.4577012062,-9040.02217819216,27564.9978576303,27775.8330374956,-43838.6653990746,10342.7186913203
1653.12959633186,-137.728126951493,3057.44044660777,2017.97859319719,3000.42996721901,24210.1847687922,7964.05647373851,31667.3699585944,39113.3231854439,-10968.2930792384,27456.3367399145,24240.5758652687,-45396.862978816,13386.640126586
851.375448329607,-2475.18308314681,-2570.03322369605,589.997271224856,1585.02001972962,7575.29235365242,3962.98199081421,22746.0672384426,30257.6133756638,-15689.4343038797,19065.4763287306,15063.5101559907,-35753.5639753677,11810.2594157755
-1101.80567308143,-5379.65429320931,-7914.26135861874,-1554.93099500053,-2696.40425733104,-3701.11247719079,-806.387255426613,7765.29746128246,15824.5620480441,2984.02591733262,11741.184911577,4847.73536448553,12846.5002050251,3865.68134161667
89.1767553347163,-5160.75312512182,-9452.06769454479,418.230096886982,-1936.61254458781,-7387.13696211763,-1295.06195522239,-1598.97206653678,3892.43819277734,16463.6698075943,5683.092196838,-713.858010642231,47628.127820015,5964.06778405607
3620.82944945223,-4978.41709486395,-10145.4322001636,2569.2839173004,-2002.96597621404,-8898.5314583322,499.274327737279,-4876.57526960736,-425.33236226812,20133.7422179733,4790.09174455144,1437.24378316291,53567.3280904293,3050.51387416944
