ato1,ato2,ato3,ato4
95.021172739107,51.4665765227982,65.0979647443666,142.835627614481
82.0833471455542,42.8220344203393,68.5597348318157,133.740768937067
79.8683540316873,41.6922886835517,67.2543181722286,108.091119052511
87.9602113117181,36.4854805987798,74.7734066033205,81.9991192865771
84.9756291394979,45.2624212269548,74.6786947705243,77.0623100726335
116.57589269422,47.2417592176291,81.415044739195,68.5217932042064
109.786199899453,49.6302628863325,81.6222051415758,65.7784091125512
108.653442926146,78.6404363577094,85.5291868861647,69.6260129756706
140.184985294882,62.37454880665,107.207049421944,96.6763148095787
155.094483151451,72.2459758085007,122.357456200008,100.577444082787
132.587294015199,57.5248220656815,125.880892013725,129.743165492748
115.509792021263,57.1260681085391,109.104865548812,128.489828472416
79.3172915958358,43.1577747265198,89.4398410833194,143.213371112763
80.2256651453798,45.7525282445054,83.5704128656417,113.712567974008
66.8911931453822,41.1724147358622,69.4227801540553,100.684065943154
74.5051600703032,45.4252910435297,91.9599264708176,71.2941789834625
95.6746569717656,39.3753913085086,82.4154536320881,70.9641078430323
95.0219168573347,41.7526544324248,81.9362635874179,66.55989887919
116.521115125444,52.3382949158972,71.4791469839977,64.8386550447725
113.955064394067,66.118421972436,84.2832211386793,79.5539584859191
142.387953282365,66.9191642872198,128.158912624622,112.159908869284
144.099086874017,73.7947260716478,125.540124574954,96.3284511258997
123.244582555712,63.0808103832306,130.029408769437,119.767254158593
98.2881618925277,59.6710385378385,124.309462615249,135.371119954599
99.1673263194823,55.6859406299111,85.3910575739543,133.528298643809
90.7886429788697,53.7789345495558,98.8352550228065,93.6301718959655
80.7074419220122,49.2511098797383,95.4959080927166,94.9506406070719
83.6115463458873,42.6340286298477,86.2418720496553,81.43947244078
111.665074558961,42.9245119776088,89.8456539221508,63.1868139966693
140.990834126119,39.6087629507372,86.6721318988515,74.1498848120771
137.478089249518,73.1326264658948,86.4501684246436,59.2676352097299
129.594684501141,52.1457121989211,102.477920829753,91.8824950626585
149.946748462773,61.0040744715112,92.428410502711,119.392279279029
198.82045965845,58.8205435239403,116.627324962993,137.531230220154
124.385916979044,68.1888098977042,134.043004894808,117.034613541023
93.1826785177469,57.6285981346462,115.353585266168,110.799067259028
95.3651403266353,48.2133509327041,106.991185052483,135.090571358098
82.3669337219131,46.5245856939883,81.8746649237557,120.145090456897
61.8641317756031,38.4130887339531,68.1455117915063,110.062008349869
69.0714735531415,46.8574951745381,73.3459122737492,70.3951092242322
86.6691611335765,38.7451091686262,91.7613601505071,72.4452348105001
129.004694027361,57.0716767844919,99.064028042179,59.5821893221976
112.861648901922,63.7807605945108,78.6688656430395,66.9356048730101
108.951190057645,57.120266851513,92.8186707273061,79.1321290807461
131.341463041451,52.9738769013491,101.233517126396,108.083441037368
145.619518582823,66.7932163998607,115.173579443388,119.777001253469
134.780211101372,53.3877378031884,111.614957951316,145.643405126307
106.700581454227,53.0044058393943,86.3801424449295,151.621221175951
86.0878825692844,56.14743173551,69.451226245221,137.583134461407
82.8668760727642,38.1751908747079,79.3232850982417,149.235744492874
81.2367882016584,42.2088354090242,75.7730241786731,113.287047525388
69.8912608585884,31.3989439118556,87.4283521330726,91.2934068896116
115.467509532195,40.7045926246771,91.525275766059,76.619978753515
106.126374374008,52.0612507579444,81.4235617483779,60.1524971911376
107.499932587044,50.3596666210681,81.0650074415217,73.2058030871723
142.134898359255,61.9926382641831,89.5315137307213,86.2979824741115
