TPM1_W1,TPM1_W2,TPM1_W3
-0.496246966803767,-0.414426194575629,0.011015854775102
-0.60730410490745,-0.556878140652154,-0.250650576776266
-0.655138186024304,-0.652850246235692,-0.606528375569457
-0.324800242794624,-0.355614578439076,-0.365938594554552
-0.0179695494351197,-0.0800884561290452,-0.121978869252866
0.191596674063914,0.126855234402529,0.0276478537800431
0.367376051990611,0.321979747025955,0.22210975298348
0.398698746618479,0.366143266408215,0.242075080909993
0.326455548549536,0.273307984428535,0.0555376085567581
0.134192063323952,0.098985766546061,-0.108121203669891
-0.132733537965173,-0.134633360570413,-0.318031328988754
-0.336155803862634,-0.381005861122624,-0.705131277883449
-0.473666899779408,-0.557334953577678,-0.95418181631167
-0.198649637003962,-0.244768371123003,-0.452739097542571
0.0436828644719763,-0.00793517936104697,-0.066830636552503
-0.244815431602901,-0.282668435142913,-0.290441174202754
-0.451417936668834,-0.43088620076454,-0.300759331217623
-0.665990413412326,-0.64260958567645,-0.447174132417705
-0.909454863061524,-0.885190558515345,-0.652336691230821
-0.942498194333801,-0.90936828992899,-0.646958085725086
-0.948342274420077,-0.895760650360955,-0.601306531352637
-0.739509426707136,-0.693423085653456,-0.437762972098227
-0.372059863364344,-0.351160394175555,-0.114054275094797
-0.17732655026655,-0.161841204053648,0.11810017928888
0.0447516721426214,0.128851168483379,0.563139998256329
0.090193408605653,0.2192402658329,0.698755800261813
-0.0998488686730713,0.0365057606486046,0.451847017198756
-0.195976277010132,-0.0556060669267051,0.3382202360739
-0.118464277690164,-0.0179880701497967,0.170800369788785
0.327842282694916,0.411632079173165,0.455549956027764
0.711127483737541,0.785319193504253,0.801557860718942
0.873426504594557,0.95196718434402,0.98422363838469
0.942993369702274,1.0397267773768,1.10915309859167
0.996824316301094,1.08235077373929,1.07698828157482
1.12747434195387,1.2071983475136,1.11373424884982
1.00177673011864,1.11855649399547,1.08329616004556
0.639396736364442,0.70968808641181,0.526511573173308
0.551238999025035,0.507047048048892,0.0649269805290624
0.620246449167208,0.557550516901479,0.12486817999108
0.627486095073559,0.545438050469966,0.056599679896943
0.792671573917683,0.66312011818104,0.105566267452178
0.903212019400151,0.767104565863955,0.245209430013944
0.899282660391054,0.771817207371467,0.251660139686439
0.855834374385999,0.731987731523218,0.205671553611924
0.899540926403043,0.769516665958055,0.235493899726022
0.936252115393546,0.808418464374812,0.366685612208884
0.987578317780643,0.802870609512628,0.295309032115198
1.30383078486747,1.08393392696361,0.444346449464078
1.82667866949654,1.70468744115571,1.30995571256051
