TPM1,TPM2
-0.188905700056813,-0.596836613758939
-0.0812465205565108,-0.4860320036716
0.121894577884948,-0.380708560054027
-0.113969812027618,-0.696817829725418
-0.536071773446015,-0.880921387927625
-0.871290924090618,-0.918577416586965
-1.06312299763751,-1.07836547858889
-1.08819406854251,-1.0868888638674
-1.07033599310271,-1.02913963557507
-1.07651068085845,-1.06092474731228
-0.864100911334184,-0.850058926181048
-0.468686471337485,-0.248620748373815
-0.169644657928427,0.302038599277608
0.070586957376967,0.413158979407375
0.24764881008879,0.545358363169243
0.556384730056296,1.11563725539002
1.04828568873076,1.67017636429605
1.48937902849466,2.00201880114796
1.78895863728889,2.14268142351359
1.96735655147044,2.09684845442229
2.01731687451774,2.05521673056212
2.03840172226861,2.05293416425544
1.92983498113539,2.11520221222157
1.75204432119218,2.233973850846
1.6745389663227,2.14770186645478
1.49342602814532,1.69956583397805
1.23009270471293,0.939053234464775
1.05919226085845,0.445342863598158
0.961845678145894,0.318403908009729
0.742150900668954,0.230929591590306
0.400180962368819,0.137033414708062
0.139605053261764,0.0257151520183793
0.0769669573310337,-0.0504888804868087
0.0822351049075795,-0.0448002079891645
-0.049438451621243,-0.12538291841599
-0.142248758349805,-0.228950680597677
0.186727267139615,0.064270974931943
0.375200290118311,0.508920906140294
0.184093959441635,1.05406089418349
0.172697089526883,1.2700343709343
0.094592652048841,0.920070342447632
-0.0773660178627059,0.576652678040509
-0.11500148028788,0.463445208296999
-0.122131738001517,0.517105064173224
-0.168279995754454,0.578378286139023
-0.201093175153187,0.568173801301317
-0.162559344178606,0.318153096376032
-0.38701971400036,-0.0676547414598251
-0.952836639161563,-0.468858323630869
-1.28962627490533,-0.823201030039176
-1.17452733721331,-0.86296880844891
-1.21745444065066,-0.554198034563496
-1.37771389034545,-0.199762702276076
-1.26822017995857,-0.00649940697653148
-1.19486958810753,0.121345357533599
-1.23449637456576,0.199789252206393
-1.24800356787229,0.21722216441529
-1.12418447974674,0.290586070938887
-0.941388696560663,0.609216087748955
-0.614041889759482,1.26877550103183
-0.33798840311416,1.78409837653556
-0.170296345403722,2.19197162346939
-0.155356563250634,2.00300941688105
-0.259838510945439,1.35511725556575
-0.234499819165004,1.11695627196724
-0.227038610445105,0.9951099353297
-0.088582090468478,0.958685109102446
0.16900759867929,0.959786996183827
0.325113817536218,0.920327168748801
0.292553447933934,0.842436623483689
0.267914962680641,0.633764953047257
0.458475837069215,0.0745289903101746
0.801823716441721,-0.326342582216262
0.984338089127096,-0.447541139166763
1.02058743885012,-0.519940894494154
1.08842422350422,-0.682162490956375
1.09211218217124,-0.943951494262808
1.03083670550703,-0.976311006743856
1.00500311939779,-1.01598194900725
1.0331502981897,-1.05861872380245
1.08350337019351,-1.02746094188286
1.13937995320462,-0.979294883278094
1.03448687038629,-0.914136186123589
0.57618407829672,-0.865565941864518
-0.220198445588809,-1.03737612121503
-0.68762128724449,-1.12304964619251
-0.639229917115769,-0.963416762611429
-0.480213065875058,-0.712529945569778
-0.263378358822613,-0.382309063069066
-0.180733559545682,-0.134720689670584
-0.306174205456554,-0.0033621564216884
-0.515578347400792,0.0505930196275484
-0.683286237643936,0.0328738092468553
-0.816747848914929,-0.0377299663725648
-0.920995372980295,-0.0473678695341492
-0.832914396989383,0.0829380969066605
-0.552913502431395,0.224313457368051
-0.384900708251928,0.446509107621518
-0.411064734640572,0.735023684385376
-0.447486710042787,0.952400383058051
-0.474771781892459,1.20907451314393
-0.398091250904324,1.31195359589976
-0.239253154065142,1.18939211529947
-0.117307922794493,1.07659665027798
-0.0425610037040556,1.07888523125214
0.0121802334939004,1.09139934840016
0.122876194912786,1.05043104236246
0.120011527946536,0.672855479899331
0.231146714466319,0.27410708499149
0.342168519622846,-0.168468988871558
0.470266477394189,-0.526581688853056
0.713369909841894,-0.685008030138691
0.77775979890763,-1.02227148678562
0.775693398025932,-1.12671017281766
0.725589050003686,-1.02837517133903
0.645851818749372,-0.978502150104918
0.566834201642933,-1.00803296447258
0.493447348184721,-0.966953387086599
0.341136340635724,-0.664253818550226
0.387832097584209,-0.014783408489542
0.363097084954084,0.570201947173811
0.21590764637238,0.840928746347761
0.0115826830659275,0.894258396979623
-0.289294682683422,0.942150186747539
-0.403819563383096,0.972877318475932
-0.455683365443266,0.752031359603806
-0.460366220036515,0.578055899962374
-0.433318636177445,0.564343661053376
-0.405683716427633,0.626542540343546
-0.376518148273852,0.716710224858175
-0.178768282582567,0.434554354548652
0.00254945706627899,-0.359336642115901
0.113996697698452,-0.94172847316413
0.475360977837822,-0.737831245769176
0.848692099069394,-0.481025394465596
1.08140377206582,-0.678871264914176
1.28155098964506,-0.675272087897269
1.40072246333081,-0.426122306822334
1.51011811416027,-0.324134597786272
1.62038557574234,-0.378708081651918
1.64980803950746,-0.464418897567737
1.63010317573642,-0.615664327355236
1.52969325330849,-0.823921587202655
1.47326866037497,-0.896280442791217
1.53193687641113,-0.951053613617024
1.24364637416386,-1.23600089110159
0.739121268926437,-1.32207800026663
0.208343270826454,-1.13963148295372
-0.479867814516674,-1.39666047842061
-1.16036488134345,-1.87485180426881
-1.77584846160658,-2.0821623554557
-2.16083947708658,-2.11549624406766
-2.24838521132663,-2.04730856037286
-2.22262159479741,-1.71389148357605
-2.31457847694038,-1.34170746903731
-2.55096023316366,-1.24903587845293
-2.5977402600443,-1.10719438126225
-2.31437367546891,-1.07925264204142
-1.9700543936058,-1.06213910867544
-1.69849121752694,-0.966742873724982
-1.46775401457714,-0.942810511842841
-1.25304954926408,-0.875882299517257
